start,end,text,speaker,trial,role,echo,description,backchannel
0,2000,Do you guys want to wave hi?,I,,,,,
2000,4000,Hi my friends.,I,,,,,
4000,6000,"Okay now, are you ready?",I,,,,,
6000,8000,What's this one.,I,,,,,
8000,11000,"Okay, today we will be playing a matching game.",I,,,,,
11000,13000,Have we ever played a matching game before?,I,,,,,
13000,15000,No we haven't.,id46,,,,,
15000,17000,I'm explaining it right now.,I,,,,,
17000,19000,Have you ever played a matching game?,I,,,,,
19000,21000,"Let's see, [id45].",I,,,,,
21000,23000,Have you?,I,,,,,
23000,25000,Have you?,I,,,,,
25000,26000,Oh perfect.,I,,,,,
26000,29000,"Today, this will be Snoopy my friends.",I,,,,,
29000,31000,Do you want to say hi to Snoopy?,I,,,,,
31000,33000,"No, no it's not Snoopy.",id46,,,,,
33000,35000,"This is, oh sorry, this is not Snoopy.",I,,,,,
35000,37000,This is Smurfy.,I,,,,,
37000,39000,"Hi Smurfy, hi [id46].",I,,,,,
39000,43000,"Okay, now today Smurfy really wants to guess.",I,,,,,
43000,47000,"Okay, on your screens you will see two pictures.",I,,,,,
47000,51000,But only one of you friends will have a picture in a black box.,I,,,,,
51000,54000,Two pictures and then?,id46,,,,,
54000,57000,Two pictures and one of you guys will have a picture in a black box.,I,,,,,
57000,62000,"And Smurfy really wants to guess that picture in a black box, okay?",I,,,,,
62000,66000,"So if you have Smurfy [id46], you will be guessing.",I,,,,,
66000,69000,You will guess which picture is in the black box.,I,,,,,
69000,71000,"If you don't have Smurfy, [id45].",I,,,,,
71000,75000,"You will be telling below what we see in a black box, okay?",I,,,,,
75000,77000,So let's try it out.,I,,,,,
77000,79000,"[id46], let's say you have Smurfy.",I,,,,,
79000,82000,Will you be guessing or will you be telling?,I,,,,,
82000,83000,Telling.,id46,,,,,
83000,85000,"You will be guessing, okay?",I,,,,,
85000,87000,So that's how it works.,I,,,,,
87000,89000,"To make a choice, to make a guess,",I,,,,,
89000,92000,we will just tap on the screen once and that will work.,I,,,,,
92000,95000,"Now, my friends, you will see one picture once you tap on it.",I,,,,,
95000,97000,"If you see a smiley face, great.",I,,,,,
97000,99000,It was a match.,I,,,,,
99000,101000,"If you see a sad face, it wasn't a match.",I,,,,,
101000,103000,But it's okay.,I,,,,,
