start,end,text,speaker,trial,role,echo,description,backchannel
0,5000,"Hi! Hello! Okay, are you ready to play the game, my friends?",I,,,,,
5000,11000,"Okay, so my friends, today we will be playing a matching game, okay?",I,,,,,
11000,13000,Let me show you how it works.,I,,,,,
13000,17000,"So this way, friends, it's Smurfie!",I,,,,,
17000,19000,Let's say hi to Smurfie.,I,,,,,
19000,21000,"Hi, [id54]!",I,,,,,
21000,23000,"Hi, [id53]!",I,,,,,
23000,25000,"Now, Smurfie really wants to play this game, okay?",I,,,,,
25000,29000,"And so, on your screens, you will see two pictures.",I,,,,,
29000,34000,"But only one of you friends will have a picture in a black box, okay?",I,,,,,
34000,39000,"And Smurfie wants to guess just that picture, okay?",I,,,,,
39000,44000,"So, let's say, [id54], if you have Smurfie, you will guess, okay?",I,,,,,
44000,47000,You will guess the picture that is in the black box.,I,,,,,
47000,53000,"[id53], if you don't have Smurfy, you will tell [id54] what you see in the black box, okay?",I,,,,,
53000,56000,"And we will take turns, and we will show you how it works.",I,,,,,
56000,60000,"Now, to make a guess, we will just tap on the screen once, but not now.",I,,,,,
60000,63000,"We'll tap on the screen once, and you will see a picture.",I,,,,,
63000,65000,"If you see a smiley face, great!",I,,,,,
65000,67000,"It was a match, okay?",I,,,,,
67000,71000,"If you see a sad face, it wasn't a match, but it's okay.",I,,,,,
71000,73000,We can always try again next time. Does that make sense?,I,,,,,
73000,74000,Yeah.,id54,,,,,
74000,76000,"Okay, do we have any questions, my friends?",I,,,,,
76000,77000,No.,id53,,,,,
77000,78000,Do you have any questions?,I,,,,,
78000,79000,No.,id53,,,,,
79000,80000,No?,I,,,,,
80000,81000,No Smurfie.,id54,,,,,
81000,82000,"Okay, now questions.",I,,,,,
82000,83000,Should we start playing the game?,I,,,,,
83000,84000,Yeah.,I,,,,,
84000,87000,"Okay, so to begin, we will all press that blue button.",I,0,,,,
87000,91000,"So, [id53], let's press that blue button too.",I,,,,,
91000,94000,"Okay, so it looks like [id54] will be guessing first.",I,,,,,
94000,96000,"So, let's hold on to Smurfie.",I,,,,,
96000,99000,"And, [id53], we will tell [id54] what we see in the black box.",I,,,,,
99000,101000,Okay.,id53,,,,,
101000,102000,What?,I,,,,,
102000,105000,"Oh, we have to listen up to [id53] before, okay?",I,,,,,
105000,107000,"So, I will show you how it works.",I,,,,,
107000,109000,"So, [id53], let's hold on for one second.",I,1,,,,
109000,112000,"[id54], we will tell [id53] what we see in the black box.",I,,,,,
112000,113000,An eagle.,id54,,S,,an eagle,Y
113000,114000,An eagle?,I,,,Y,,
114000,115000,Yeah.,I,,,,,
115000,117000,Which one looks like an eagle to you?,I,,,Y,,
117000,120000,Let's press it.,I,,,,,
120000,121000,Great.,I,,,,,
121000,122000,"So, that was a match, okay?",I,,,,,
122000,123000,I have a smile.,id54,2,,,,
123000,124000,Yeah.,I,,,,,
124000,127000,"So, now you will listen up to [id53] before pressing, okay, [id54]?",I,,,,,
127000,128000,Okay.,I,,,,,
128000,131000,"So, now.",I,,,,,
131000,133000,What's up with this?,I,,,,,
133000,134000,Huh.,I,,,,,
134000,136000,Um.,I,,,,,
136000,138000,It doesn't seem to be working on [id53]'s side.,I,,,,,
138000,139000,Give me one second.,I,,,,,
139000,141000,"We will just randomly press this one, okay?",I,,,,,
141000,143000,Because.,I,,,,,
143000,144000,Oh.,I,,,,,
144000,145000,That was a match.,I,3,,,,
145000,146000,Okay.,I,,,,,
146000,147000,Let's give it back to [id53].,I,,,,,
147000,148000,Okay.,I,,,,,
148000,149000,Perfect.,I,,,,,
149000,150000,Huh.,I,,,,,
150000,153000,What is up with [id53]'s?,I,,,,,
153000,157000,There's something wrong with [id53]'s iPad.,I,,,,,
157000,161000,How about let me try to get out for one second.,I,,,,,
161000,163000,And if I go zoom.,I,,,,,
163000,164000,Huh.,I,,,,,
164000,167000,This is very interesting.,I,,,,,
167000,168000,"Oh, there we go.",I,,,,,
168000,169000,Perfect.,I,,,,,
169000,170000,"Okay, okay, okay, okay.",I,,,,,
170000,173000,"So, [id54], we will tell [id53] what we see in the box.",I,,,,,
173000,174000,I don't know what it is.,id54,,S,,,Y
174000,175000,You don't know what it is?,I,,,,,
175000,177000,What does it kind of look like to you?,I,,,,,
177000,178000,A boat.,id54,,S,,a boat,Y
178000,179000,A boat?,I,,,Y,,
179000,180000,"Do you see a boat, [id53]?",I,,,,,
180000,181000,Let's press it.,I,,,,,
181000,182000,"Oh, we're going to sit on our seats, okay?",I,,,,,
182000,183000,Great.,I,,,,,
183000,184000,"So, that was a match.",I,,,,,
184000,186000,"So, let's pass Smurfy on.",I,,,,,
