start,end,text,speaker,trial,role,echo,description,on_topic
0,12000,Do you want to say hi? ,I,,,,,
,,Hi. ,id55,,,,,
,,Hi my friends. ,I,,,,,
,,Are you ready to play the game? ,I,,,,,
,,"Okay my friends, today we will be playing a matching game. ",I,,,,,
,,"Let me show you how it works, okay?",I,,,,,
12000,25000,"Now this my friends is, tada! Smurphy! Let's say hi to Smurphy. ",I,,,,,
,,No.,id56,,,,,
,,"No, is he a little scary to you? Oh that's okay. Smurphy is really nice. Do you want to say hi to Smurphy?",I,,,,,
,,No.,id55,,,,,
25000,34000,"Oh it's okay. I will say hi to Smurphy then. So Smurphy really wants to play this game, okay? And specifically it's a matching game.",I,,,,,
34000,41000,"So you will see two pictures on your screens, but only one of you friends will see a picture in a black box, okay?",I,,,,,
41000,52000,"And Smurphy just wants to guess that picture in a black box. Now [id56], so if you have Smurphy then you will be guessing, okay? You will guess the picture that is in the black box.",I,,,,,
,,I don't want to. ,id55,,,,,
52000,61000,"I'll show you. I'll show you. I can hold Smurphy for you, okay? Now if you don't have Smurphy with you, you will be telling, okay?",I,,,,,
61000,68000,"So you will tell me now what you see in the black box. To make a guess we will just tap on the screen, but we don't have to do it right now.",I,,,,,
68000,81000,"And you will see a picture. Now if you see a smiley face, great! It was a match. If you see a sad face, it wasn't a match. But it's okay. We can always try again next time.",I,,,,,
81000,88000,Does that sound good? ,I,,,,,
,,Yeah. ,id56,,,,,
,,Do we have any questions my friends?,I,,,,,
,,No.,id56,,,,,
,,No? Should we start playing the game?,I,,,,,
88000,99000,"Okay, so to start we will press the blue button. Okay, so now it is [id56]'s turn to guess, okay? So I will put Smurphy here, okay? ",I,0,,,,
,,No.,id56,,L,,,
99000,108000,"Should I hold it? Okay, I'll hold it. So [id55], let's tell me now what we see in the black box. ",I,,,,,
,,Nothing.,id55,,S,,nothing,Y
108000,117000,"Oh, we do see something. Let's try to help Smurphy and [id56] out. What does that look like?",I,,,,,
,,Aseod.,id55,,S,,aseod,Y
,,A what?,I,,,,,
,,Aseod. ,id55,,S,,,Y
117000,133000,"Aseod? Oh, so [id55] sees aseod. Is that aseod? So which one looks like aseod? Let's press it. This one. Yeah. So [id56], we will sit, okay?",I,,,,,
,,This one.,id55,,S,,,Y
,,"Yeah, so [id56] we will sit, okay?",I,,,,,
133000,143000,"[id56], which one looks like that? Let's press it. ",I,,,,,
,,Not that I keep this one.,id55,,S,,,
,,I can’t see it,id56,,L,,,Y
,,You can’t see?,I,,,,,
,,Yeah. ,id56,,L,,,
143000,153000,"Let's try to say it again. [id56], let's sit on the seat, okay? So what does that look like? ",I,,,,,
,,A seal.,id55,,S,,a seal,Y
,,A seal. So which one looks like a seal?,I,,,Y,,
153000,163000,Let's press it. ,I,,,,,
,,"Great. So that was a match, okay? Now [id55], it'll be your turn to guess, okay? Do you want Smurphy? ",I,1,,,,
,,No.,id55,,L,,,
163000,172000,"Okay, then I will hold Smurphy. Now [id56], we will tell [id55] what we see in the box. What does that look like? ",I,,,,,
,,Apple.,id56,,S,,apple,Y
,,Apple.,I,,,Y,,
,,Apple.,id55,,L,,,Y
172000,183000,"Great. It was a match. So now we'll continue on. We'll put Smurphy on my lap. Okay. Now [id55], what does that look like to you?",I,2,,,,
,,A shape. ,id55,,S,,a shape,Y
183000,196000,What does it look like? What does it kind of look like? ,I,,,,,
,,I don’t know.,id55,,S,,,
,,You just see shapes? Okay. [id55] sees a shape. Which one looks like a shape to you?,I,,,Y,,
196000,206000,"That's okay, my friends. It wasn't a match, but we can try again. Okay. Now [id56], what does that look like to you?",I,3,,,,
,,A person.,id56,,S,,a person,Y
,,A person. Do you see a person?,I,,,Y,,
206000,217000,"Great. That was a match. Okay. Now [id55], it'll be your turn. So what does that look like to you?",I,4,,,,
,,I don’t know. Laying down on the ground.,id55,,S,,laying down on the ground,Y
217000,227000,Laying down on the ground. ,I,,,Y,,
,,I don’t know what is it.,id56,,L,,,Y
,,Laying down on the ground.,id55,,S,,,Y
,,Yeah. [id55] says that she sees one. Let's press it,I,,,,,
,,I said laying down on the ground,id55,,S,,,Y
227000,235000,We can press it together. Okay. So I will hold your finger. Ready? So which one do you want to press on? Okay. Ready? Go.,I,,,,,
235000,241000,"Yay. It was a match, my friends. Okay. Now [id56]. I want to read this game.",I,5,,,,
,,I want to leave this game.,id56,,S,,,
