start,end,text,speaker,trial,role,echo,description,on_topic
0,1440,You guys wanna wave hi?,I,,,,,
1440,2280,Hi.,id31,,,,,
2280,3120,Hi.,id32,,,,,
3120,4240,This is so exciting.,I,,,,,
4240,7080,I'm so happy that you guys are here to play my game.,I,,,,,
7080,8680,"Now, are you guys ready?",I,,,,,
8680,9520,Yeah.,id31,,,,,
9520,11520,"Okay, so, hi friends.",I,,,,,
11520,14480,Today we'll be playing a matching game.,I,,,,,
14480,16320,Do you guys know what a matching game is?,I,,,,,
16320,17400,Yeah.,id31,,,,,
17400,19800,"Hmm, what do you think the matching game is [id31]?",I,,,,,
19800,24800,The matching game is that we have to match something.,id31,,,,,
24800,29800,We have to match something from right here,id31,,,,,
32840,37840,"to, we have to match an animal that's not this way,",id31,,,,,
38760,42840,"it's this way, and we have to match another animal",id31,,,,,
42840,46480,that's this way and not this way.,id31,,,,,
46480,48120,And we have to do this.,id31,,,,,
48120,48960,Okay.,I,,,,,
48960,53960,"And if we do the wrong one, someone else will take it.",id31,,,,,
53960,57120,"If we do the right one, someone else will do the good.",id31,,,,,
57120,59480,"Well let me explain my game, okay?",I,,,,,
59480,62960,"So, this way friends is Smurphy.",I,,,,,
62960,64600,Let's say hi to Smurphy.,I,,,,,
64600,65440,Hi.,id31,,,,,
65440,66560,Hi.,id32,,,,,
66560,69200,"Now Smurphy really wants to play this matching game today,",I,,,,,
69200,70240,okay?,I,,,,,
70240,73400,"And specifically, he wants to guess.",I,,,,,
73400,75280,"So in front of your screens later,",I,,,,,
75280,78240,"you will see two pictures, okay?",I,,,,,
78240,81240,But only one of you friends will see one picture,I,,,,,
81240,83360,in a black box.,I,,,,,
83360,88360,"And Smurphy wants to guess that picture in the black box, okay?",I,,,,,
88560,93560,"So Julian, if you have Smurphy, eh, you will be guessing.",I,,,,,
93960,98840,And you will be guessing which picture is in the black box.,I,,,,,
98840,101800,"But [id31], if you don't have Smurphy,",I,,,,,
101800,103360,then you'll be telling.,I,,,,,
103360,105520,And you will tell Julian and Smurphy,I,,,,,
105520,108720,"what you see in the black box, okay?",I,,,,,
108720,112040,"And to make a choice, we will just tap on the screen",I,,,,,
112040,113600,"and that's how you do it, okay?",I,,,,,
113600,115360,We don't have to tap right now.,I,,,,,
115360,118520,"And once you tap on the screen, you will see a picture.",I,,,,,
118520,120440,If you see a smiley face.,I,,,,,
120440,122640,"Hey, this one looks like my iPad.",id31,,,,,
122640,123480,Mm-hmm.,I,,,,,
123480,125000,"Let's not touch anything just yet, okay?",I,,,,,
125000,129000,"If you see a smiley face, great, it was a match.",I,,,,,
129000,132160,"If you see a sad face, it wasn't a match.",I,,,,,
132160,134760,"But it's okay, you guys can try again",I,,,,,
134760,138360,"and try to help Smurphy guess the right picture, okay?",I,,,,,
138360,142640,Do you guys have any questions?,I,,,,,
142640,143920,"No, I don't have any questions.",id32,,,,,
143920,144920,I have questions.,id31,,,,,
144920,146960,"Well, let me know, what is your question?",I,,,,,
146960,151960,"My question is that what does a cat goes to the,",id31,,,,,
159480,164480,how does a cat goes through the ocean?,id31,,,,,
164480,166920,Through the ocean.,id31,,,,,
166920,168960,"Ooh, that's an interesting question.",I,,,,,
168960,171640,"That's easy, I know the question.",id31,,,,,
171640,172640,With a boat.,id31,,,,,
172640,173680,"Oh, with a boat.",I,,,,,
173680,175040,That is so smart.,I,,,,,
175040,175880,That is so smart.,I,,,,,
175880,179120,"Okay, do you have any questions about the game?",I,,,,,
179120,179960,Yeah.,id32,,,,,
179960,180800,What's your question?,I,,,,,
180800,182080,How are you playing now?,id32,,,,,
182080,183280,"Well, I'll show you right now.",I,,,,,
183280,184120,Should we start?,I,,,,,
184120,184960,Yeah.,id31,,,,,
184960,185800,Are you guys ready to start?,I,,,,,
185800,187000,"Well, we'll sit in our seats, okay?",I,,,,,
187000,188960,Let's face the screen right now.,I,,,,,
188960,189800,Ready?,I,,,,,
189800,191720,So we'll all press the blue button.,I,,,,,
191720,192560,Do you see blue button?,I,,,,,
192560,194000,Let's press it.,I,,,,,
194000,194840,Let's press it.,I,,,,,
195880,196720,"Okay, it's time.",I,0,,,,
196720,197560,Hi.,I,,,,,
197560,200360,"So, [id31], you're going to hold on to Smurphy",I,,,,,
200360,202080,"and you will guess, okay?",I,,,,,
202080,204960,"[id32], what do you see in the black box?",I,,,,,
204960,205800,That apple.,id32,,S,,that apple,Y
205800,206640,"Do you see an apple, [id31]?",I,,,Y,,
206640,207480,Yes.,id31,,L,,,
207480,208320,Let's press it.,I,1,,,,
210000,212000,"Great, so it was a match.",i,,,,,
212000,213960,"And we'll pass Murphy on to [id32],",I,,,,,
213960,216280,"and now [id32] will guess, okay?",I,,,,,
216280,218080,"[id31], what do you see in the black box?",I,,,,,
218080,218920,A banana.,id31,,S,,a banana,Y
218920,219760,A banana.,I,,,Y,,
220840,221960,"Do you see one, [id32]?",I,,,,,
221960,222800,Yeah.,id32,,L,,,
222800,224120,Let's press it.,I,,,,,
224120,225440,Yeah.,I,2,,,,
225440,226560,That's great.,I,,,,,
226560,228320,Let's pass it on to [id31].,I,,,,,
228320,229440,I like this game.,id31,,L,,,
229440,230600,"Oh, that's great.",I,,,,,
230600,234360,"Okay, so, [id32], what do you see in the black box?",I,,,,,
234360,235280,A person.,id32,,S,,a person,Y
235280,236560,She sees a person.,I,,,Y,,
236560,237400,Do you see a person?,I,,,,,
237400,238240,Yes.,id31,,L,,,
238240,239080,Let's press it.,I,,,,,
241120,242440,That is great.,I,,,,,
242440,244040,Let's pass it on.,I,3,,,,
244040,246720,"Now, [id31], what do you see in the black box?",I,,,,,
246720,249720,"Uh, what's that?",id31,,S,,,Y
249720,251440,I don't know what it looks like.,I,,,,,
251440,253840,I think it's a whale.,id31,,S,,a whale,Y
253840,254680,A whale.,I,,,Y,,
254680,255920,Do you see a whale?,I,,,,,
255920,256760,Yeah.,id32,,L,,,
256760,257760,Let's press it.,I,,,,,
258760,259600,Great.,I,4,,,,
259600,260520,"Great, hey.",I,,,,,
260520,261440,"Great, my friends.",I,,,,,
261440,262760,Here you go.,I,,,,,
262760,265240,"[id32], what do we see in the black box?",I,,,,,
266760,269640,A person holding something.,id32,,S,,a person holding something,Y
269640,272000,A person holding something.,I,,,Y,,
272000,274680,"I see a person holding something, too.",id31,,L,,,Y
274680,275920,Let's press it.,I,,,,,
275920,276760,Me?,id32,,S,,,
276760,278040,Only [id31] will press it.,I,5,,,,
278040,279160,That's so great.,I,,,,,
279160,280000,Thank you.,I,,,,,
280000,281240,Here you go.,I,,,,,
281240,282840,"Now, what do we see, [id31]?",I,,,,,
282840,283960,A bird.,id31,,S,,a bird,Y
283960,285400,She sees a bird.,I,,,Y,,
285400,286240,What is the bird?,id32,,L,,,Y
286240,287080,This one?,id32,,L,,,Y
287080,287920,I don't know.,I,,,,,
287920,288760,This one?,id31,,S,,,Y
288760,290040,"Well, we don't show her the screen.",I,,,,,
290040,291320,"Um, this one.",id32,,L,,,Y
291320,293920,"Like, let's try to tell her a little bit more",I,,,,,
293920,294840,about what you see.,I,,,,,
295720,297880,"So you see a bird, right?",I,,,Y,,
297880,299920,Which one looks like a bird to you?,I,,,,,
299920,300920,Let's press it.,I,,,,,
300920,301760,Me?,id32,,L,,,
301760,302600,Mm-hmm.,I,,,,,
302600,303440,A bird.,I,,,,,
303440,304280,Good for you.,I,,,,,
304280,305880,We have the same one.,I,6,,,,
305880,307400,"Yeah, here you go.",I,,,,,
307400,309000,"[id32], what do we see now?",I,,,,,
309000,313480,A person trying to fly.,id32,,S,,a person trying to fly,Y
313480,316280,She sees a person trying to fly.,I,,,Y,,
316280,317120,Do you see that?,I,,,,,
317120,317960,Yeah.,id31,,L,,,Y
317960,318800,Let's press it.,I,,,,,
321800,323720,Great.,I,,,,,
323720,325120,Here you go.,I,7,,,,
325120,326880,"Now, [id31], what do we see in the black box?",I,,,,,
326880,327720,Whale!,id31,,S,,whale,Y
327720,328560,Whale.,I,,,Y,,
329560,330400,Do you see a whale?,I,,,,,
330400,331240,Yeah.,id32,,L,,,
331240,332080,Let's press it.,I,,,,,
332080,332920,Me?,id32,,L,,,
332920,333760,Yes.,I,,,,,
333760,334600,Yay!,I,,,,,
334600,335440,"Great, my friend.",I,8,,,,
335440,336800,A smile.,id32,,S,,,
336800,337920,Yeah.,I,,,,,
337920,341200,"Now, [id32], what do we see in the black box?",I,,,,,
341200,343520,A person holding something again.,id32,,S,,a person holding something,Y
343520,345000,A person holding something again?,I,,,Y,,
345000,345840,Me too.,id31,,L,,,Y
345840,347000,Let's press it.,I,,,,,
347000,347840,Me?,id32,,S,,,
347840,349000,She's going to press it.,I,,,,,
349000,350840,"So if you have Smurfy, you will press.",I,,,,,
350840,351840,Okay?,I,9,,,,
351840,353160,Here you go.,I,,,,,
353160,355400,"[id31], what do we see in the black box?",I,,,,,
355400,357560,I see people walking.,id31,,S,,people walking,Y
357560,359680,She sees people walking.,I,,,Y,,
359680,360520,I will push it.,id32,,L,,,
360520,362360,Mm-hmm.,I,,,,,
362360,363200,"Great, my friend.",I,10,,,,
363200,365480,Now I will press it.,id31,,L,,,
365480,367040,"Okay, here you go.",I,,,,,
367040,369080,"[id32], what do we see?",I,,,,,
369080,370640,A person trying to fly again.,id32,,S,,a person trying to fly,Y
370640,371760,A person trying to fly again?,i,,,Y,,
371760,372600,"Yeah, me too.",id31,,L,,,Y
374440,375280,Great job.,I,,,,,
375280,377360,"Oh, I pressed it.",id31,,L,,,
377360,378960,Here you go.,I,11,,,,
378960,380880,"Now, [id31], what do we see?",I,,,,,
380880,382440,A person holding something.,id31,,S,,a person holding something,Y
382440,383920,A person holding something.,I,,,Y,,
386920,387760,Hey!,id31,12,L,,,
387760,389440,"[id32], silly.",id31,,L,,,
389440,391080,Here you go.,I,,,,,
391080,392640,"Now, [id32], what do we see?",I,,,,,
393760,394600,This?,id32,,S,,,
394600,395440,Mm-hmm.,I,,,,,
395440,398800,I see a whale swimming.,id32,,S,,a whale swimming,Y
398800,399640,A whale swimming.,I,,,Y,,
399640,400480,Me too.,id31,,L,,,Y
400480,402320,Let's press it.,I,,,,,
402320,403800,,,,,,,
403800,404800,,,,,,,
404800,405960,Here you go.,I,13,,,,
405960,407360,"Now, what do you see, [id31]?",I,,,,,
407360,408600,A people walking.,id31,,S,,a people walking,Y
408600,409600,People walking.,I,,,Y,,
410840,411680,Yay!,I,,,,,
411680,412520,Great!,I,,,,,
414120,414960,[id32].,id31,,S,,,
416960,418880,"Friends, our game is over.",I,,,,,
418880,421160,Thank you guys so much for playing our game.,I,,,,,
421160,422480,I wanna play again.,id31,,S,,,
422480,423320,You wanna play again?,I,,,,,
423320,424160,Me too.,id32,,L,,,
424160,425000,Yeah.,I,,,,,
425000,426520,"Well, thank you guys so much for helping",I,,,,,
426520,427520,start me play the game.,I,,,,,
427520,429680,"Okay, I'll turn the camera off",I,,,,,
429680,432360,and I'll put your name tags back on.,I,,,,,
432360,434040,Do you wanna say bye-bye?,I,,,,,
434040,434880,Bye-bye.,id31,,S,,,
434880,456720,Bye-bye.,id32,,L,,,
