game,start_time,end_time,text,speaker,trial,role,description,backchannel,trialNumStart,trialNumEnd,echo,trial_start
game41,-96,-93,Do you want to say hi to the camera?,I,NA,NA,NA,NA,NA,0,NA,NA
game41,-93,-92,Hi!,id13,NA,NA,NA,NA,NA,0,NA,NA
game41,-91,-89,"Okay, we're ready to go.",I,NA,NA,NA,NA,NA,0,NA,NA
game41,-89,-85,"Alright my friends, so today we're going to be playing a super fun matching game.",M,NA,NA,NA,NA,NA,0,NA,NA
game41,-85,-83,Let us tell you how it works.,M,NA,NA,NA,NA,NA,0,NA,NA
game41,-83,-81,Now this is going to be Smurfie.,I,NA,NA,NA,NA,NA,0,NA,NA
game41,-81,-79,Let's say hi to Smurfie.,I,NA,NA,NA,NA,NA,0,NA,NA
game41,-79,-78,Hi!,id14,NA,NA,NA,NA,NA,0,NA,NA
game41,-78,-77,Hi!,I,NA,NA,NA,NA,NA,0,NA,NA
game41,-77,-73,"Now Smurfie really really wants to play this matching game today, okay?",I,NA,NA,NA,NA,NA,0,NA,NA
game41,-73,-65,"And specifically, he wants to guess because you two will get two images on your screens.",I,NA,NA,NA,NA,NA,0,NA,NA
game41,-65,-60,And only one of you friends will be having a picture in a black box.,I,NA,NA,NA,NA,NA,0,NA,NA
game41,-60,-56,"So if you have Smurfie, you will be the guesser.",I,NA,NA,NA,NA,NA,0,NA,NA
game41,-56,-53,Meaning that you will guess what picture is in the black box.,I,NA,NA,NA,NA,NA,0,NA,NA
game41,-53,-49,"But when you don't have Smurfie, you will be the teller.",I,NA,NA,NA,NA,NA,0,NA,NA
game41,-49,-45,And you will tell your friends what you see in the black box.,I,NA,NA,NA,NA,NA,0,NA,NA
game41,-45,-39,"So [id13], if you have Smurfie, are you going to be guessing with Smurfie or are you going to be telling?",M,NA,NA,NA,NA,NA,0,NA,NA
game41,-39,-37,Guessing.,id13,NA,NA,NA,NA,NA,0,NA,NA
game41,-37,-36,That's right!,M,NA,NA,NA,NA,NA,0,NA,NA
game41,-36,-31,"And then for [id14], does that mean you're going to be guessing or telling if you don't have Smurfie?",M,NA,NA,NA,NA,NA,0,NA,NA
game41,-31,-30,Telling.,id14,NA,NA,NA,NA,NA,0,NA,NA
game41,-30,-28,"That's right, you're going to be telling Smurfie.",M,NA,NA,NA,NA,NA,0,NA,NA
game41,-28,-27,And [id13].,M,NA,NA,NA,NA,NA,0,NA,NA
game41,-27,-22,"Alright my friends, so to make your guess, you're going to tell all the picture you think it is.",M,NA,NA,NA,NA,NA,0,NA,NA
game41,-22,-21,Which we will show you in a second.,M,NA,NA,NA,NA,NA,0,NA,NA
game41,-21,-18,"After you make your guess, you will see a picture.",M,NA,NA,NA,NA,NA,0,NA,NA
game41,-18,-16,"If it is a smiley face, it was a match.",M,NA,NA,NA,NA,NA,0,NA,NA
game41,-16,-14,"Great job, you helped Smurfie.",M,NA,NA,NA,NA,NA,0,NA,NA
game41,-14,-12,"If it's a sad face, that's okay.",M,NA,NA,NA,NA,NA,0,NA,NA
game41,-12,-11,It wasn't a match.,M,NA,NA,NA,NA,NA,0,NA,NA
game41,-11,-9,But you can help Smurfie later.,M,NA,NA,NA,NA,NA,0,NA,NA
game41,-9,-8,Does that sound good?,M,NA,NA,NA,NA,NA,0,NA,NA
game41,-8,-7,Great.,M,NA,NA,NA,NA,NA,0,NA,NA
game41,-7,-5,Do you guys have any questions?,M,NA,NA,NA,NA,NA,0,NA,NA
game41,-5,-4,"Great, okay.",M,NA,NA,NA,NA,NA,0,NA,NA
game41,-4,-3,So let's get started.,M,NA,NA,NA,NA,NA,0,NA,NA
game41,-3,0,Go ahead and press the box on your screen.,M,NA,NA,NA,NA,NA,0,NA,NA
game41,0,2,Alright.,M,NA,NA,NA,NA,NA,0,NA,NA
game41,2,3,Woo!,I,NA,NA,NA,NA,0,0,NA,NA
game41,3,4,You can start.,M,NA,NA,NA,NA,0,0,NA,NA
game41,4,5,So you have the black box.,M,0,NA,NA,NA,0,0,Y,0
game41,5,6,So you're going to be the teller.,M,0,NA,NA,NA,0,0,Y,0
game41,6,12,So we will wait for [id13] to describe what she sees in the black box.,I,0,NA,NA,NA,0,0,Y,0
game41,12,14,A bird.,id13,0,S,A bird,Y,0,0,Y,0
game41,14,17,A bird.,I,0,NA,NA,NA,0,0,Y,0
game41,17,19,I have that one.,id14,0,L,NA,Y,0,0.5,Y,0
game41,19,21,Touch which one you think it is.,M,0,NA,NA,NA,0,0.5,Y,0
game41,21,23,I got a smiley face.,id13,0,NA,NA,NA,0.5,1,Y,0
game41,23,24,"Oh my gosh, that's a match.",M,0,NA,NA,NA,0.5,1,Y,0
game41,24,25,Did you get one too?,I,0,NA,NA,NA,1,1,Y,0
game41,25,27,"Yeah, I got one.",id14,0,NA,NA,NA,1,1,Y,0
game41,27,29,Now it will be [id13]'s turn to guess.,I,1,NA,NA,NA,1,1,NA,23
game41,29,31,So now what do you see [id14]?,I,1,NA,NA,NA,1,1,NA,23
game41,31,33,A banana.,id14,1,S,A banana,Y,1,1,NA,23
game41,33,35,I see a banana.,id13,1,NA,NA,NA,1,1,NA,23
game41,35,38,So tap which one you think it is.,M,1,NA,NA,NA,1,1.5,NA,23
game41,38,39,Yay!,M,1,NA,NA,NA,1.5,1.5,NA,23
game41,39,42,I got a green box with a smiley face.,id14,1,NA,NA,NA,1.5,2,NA,23
game41,42,43,Yay!,M,1,NA,NA,NA,2,2,NA,23
game41,43,45,So that means it was a match.,M,1,NA,NA,NA,2,2,NA,23
game41,45,47,"Now [id13], it's your turn.",M,2,NA,NA,NA,2,2,Y,40
game41,47,51,You're just going to tell our friend what you see in the box.,M,2,NA,NA,NA,2,2,Y,40
game41,51,54,I see a person in the box.,id13,2,S,a person,Y,2,2,Y,40
game41,54,55,A person?,M,2,NA,NA,NA,2,2,Y,40
game41,55,56,Woo!,M,2,NA,NA,NA,2,2,Y,40
game41,56,59,Give me some hints.,id14,2,L,NA,Y,2,2,Y,40
game41,59,61,I've got two people.,id14,2,L,NA,Y,2,2,Y,40
game41,61,66,One is holding out something and the other is walking.,id14,2,L,NA,Y,2,2,Y,40
game41,66,70,Do you want to give her more hints?,M,2,NA,NA,NA,2,2,Y,40
game41,70,71,What?,id13,2,NA,NA,NA,2,2,Y,40
game41,71,75,She's asking can you give her a little bit more hints because she sees two people too.,M,2,NA,NA,NA,2,2,Y,40
game41,75,76,I see two people.,id13,2,S,NA,Y,2,2,Y,40
game41,76,78,"Oh, so the one in the box.",M,2,NA,NA,NA,2,2,Y,40
game41,78,83,Do you want to give her more hints about it?,M,2,NA,NA,NA,2,2,Y,40
game41,83,84,It's okay.,M,2,NA,NA,NA,2,2,Y,40
game41,84,86,I know they look kind of funny.,M,2,NA,NA,NA,2,2,Y,40
game41,86,89,You're just going to talk about whatever you think it looks like.,M,2,NA,NA,NA,2,2,Y,40
game41,89,97,"Listen to [id13] very carefully, okay?",I,2,NA,NA,NA,2,2,Y,40
game41,97,103,It looks like an animal.,id13,2,S,an animal,Y,2,2,Y,40
game41,103,106,An animal?,I,2,NA,NA,NA,2,2,Y,40
game41,106,118,So is that the one that looks like an animal that's holding out something?,id14,2,L,NA,Y,2,2.5,Y,40
game41,118,123,Great job!,I,2,NA,NA,NA,2.5,3,Y,40
game41,123,125,Now what do we see?,I,3,NA,NA,NA,3,3,Y,120
game41,125,128,A person walking.,id14,3,S,A person walking,Y,3,3,Y,120
game41,128,136,So our friend says she sees someone walking in the box.,M,3,NA,NA,NA,3,3,Y,120
game41,136,139,I don't see any blocks.,id13,3,L,NA,Y,3,3,Y,120
game41,139,141,I don't see a box.,id13,3,L,NA,Y,3,3,Y,120
game41,141,144,"Oh, so since you have Smurfie, you are the guesser right now.",M,3,NA,NA,NA,3,3,Y,120
game41,144,150,"And [id14] is the teller, so she's telling you what she sees in the box.",M,3,NA,NA,NA,3,3,Y,120
game41,150,153,So she says she sees someone walking.,M,3,NA,NA,NA,3,3,Y,120
game41,153,154,I see someone walking.,id13,3,L,NA,Y,3,3,Y,120
game41,154,158,Then go ahead and guess.,M,3,NA,NA,NA,3,3.5,Y,120
game41,158,159,Yay!,M,3,NA,NA,NA,3.5,3.5,Y,120
game41,159,160,Great job!,M,3,NA,NA,NA,3.5,4,Y,120
game41,160,162,Now Smurfie goes back in.,M,4,NA,NA,NA,3.5,4,Y,160
game41,162,170,Now I see a person with one leg.,id13,4,S,a person with one leg,Y,4,4,Y,160
game41,170,171,With one leg.,M,4,NA,NA,NA,4,4,Y,160
game41,171,174,A flamingo.,id13,4,S,NA,Y,4,4,Y,160
game41,174,178,I see a person with one leg too.,id14,4,L,NA,Y,4,4,Y,160
game41,178,181,A flamingo with a triangle.,id13,4,S,a flamingo with a triangle,Y,4,4,Y,160
game41,181,184,A flamingo with a triangle.,I,4,NA,NA,NA,4,4,Y,160
