_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
mMTrBbRaF6RAeZbRn,1,simple,true,2024-01-26T18:02:23Z,2024-01-26T18:05:46Z,finished,,7b2i88z9SEAviASrx,2024-01-26T18:02:21Z,2024-06-24T20:49:56Z
zfN32gvAuzz2o66t2,2,simple,true,2024-01-26T18:07:37Z,2024-01-31T00:14:59Z,finished,,cGpuAfzZsYmEgn2h7,2024-01-26T18:07:35Z,2024-06-24T20:49:57Z
JhXbKStcTh362F6xk,3,simple,false,2024-01-26T18:07:38Z,,cancelled,,sumxZQYrJRWLCwT6X,2024-01-26T18:07:35Z,2024-06-24T20:49:43Z
5HoJAgqwv5ZaF4aGt,4,simple,false,2024-01-26T18:07:39Z,,cancelled,,n8cJ6h2PZuSRoqhHx,2024-01-26T18:07:36Z,2024-06-24T20:49:44Z
jYut7YNdCx8XwiFAH,5,simple,false,2024-02-01T21:08:49Z,,cancelled,,mXimRcn42LpiNDXk3,2024-02-01T21:08:47Z,2024-06-24T20:49:44Z
nZtbjuHifKrTHbjpR,6,simple,true,2024-02-01T21:14:06Z,2024-02-01T21:59:25Z,finished,,jbNPQDaixXJiohdHT,2024-02-01T21:14:05Z,2024-06-24T20:49:57Z
Ntmfbpr38Yj8LF57m,7,simple,false,2024-02-02T22:51:38Z,,cancelled,,zsoZornQwkwLajDo7,2024-02-02T22:51:36Z,2024-06-24T20:49:45Z
qX54x3Cu32zN3uB4B,8,simple,false,2024-02-02T22:59:01Z,,cancelled,,wZjbfhrspeGWasTCY,2024-02-02T22:59:00Z,2024-06-24T20:49:45Z
mvuBPmubWEtLZB9oj,9,simple,true,2024-02-21T20:00:12Z,2024-02-21T22:36:18Z,finished,,hDejgteDNZXYTt9CJ,2024-02-21T20:00:10Z,2024-06-24T20:49:58Z
5gamQ492Mb4A5X8iT,10,simple,false,2024-02-22T01:01:07Z,,cancelled,,Zpoo83ofRo8329Dvn,2024-02-22T01:01:06Z,2024-06-24T20:49:46Z
Ndd2h6i9wmd87CSXn,11,simple,true,2024-02-22T01:04:19Z,2024-02-22T01:10:54Z,finished,,7rW5bxtBdLL8fkRMk,2024-02-22T01:04:17Z,2024-06-24T20:49:58Z
