target,distractor,trialNum,targetNum,repNum,response,correct,time,listener,speaker,gameId,game
apple,banana,0,0,NA,apple,true,71267,id60,id59,yNxLuQYs99rgcor8k,game16
dog,bird,1,1,NA,dog,true,23310,id59,id60,yNxLuQYs99rgcor8k,game16
house,boat,2,2,NA,house,true,42234,id60,id59,yNxLuQYs99rgcor8k,game16
tree,swan,3,3,NA,tree,true,7705,id59,id60,yNxLuQYs99rgcor8k,game16
swim,walk,4,0,0,swim,true,18781,id60,id59,yNxLuQYs99rgcor8k,game16
hold,walk,5,1,0,walk,false,13877,id59,id60,yNxLuQYs99rgcor8k,game16
walk,hold,6,2,0,hold,false,10887,id60,id59,yNxLuQYs99rgcor8k,game16
jump,swim,7,3,0,jump,true,15107,id59,id60,yNxLuQYs99rgcor8k,game16
swim,jump,8,0,1,swim,true,7111,id60,id59,yNxLuQYs99rgcor8k,game16
walk,swim,9,1,1,walk,true,9680,id59,id60,yNxLuQYs99rgcor8k,game16
hold,walk,10,2,1,hold,true,9573,id60,id59,yNxLuQYs99rgcor8k,game16
jump,walk,11,3,1,walk,false,14657,id59,id60,yNxLuQYs99rgcor8k,game16
jump,walk,12,0,2,jump,true,33520,id60,id59,yNxLuQYs99rgcor8k,game16
swim,jump,13,1,2,swim,true,8028,id59,id60,yNxLuQYs99rgcor8k,game16
walk,hold,14,2,2,walk,true,15393,id60,id59,yNxLuQYs99rgcor8k,game16
hold,walk,15,3,2,hold,true,6525,id59,id60,yNxLuQYs99rgcor8k,game16
hold,swim,16,0,3,hold,true,5043,id60,id59,yNxLuQYs99rgcor8k,game16
swim,hold,17,1,3,swim,true,6473,id59,id60,yNxLuQYs99rgcor8k,game16
walk,hold,18,2,3,walk,true,15089,id60,id59,yNxLuQYs99rgcor8k,game16
jump,hold,19,3,3,jump,true,17240,id59,id60,yNxLuQYs99rgcor8k,game16
banana,apple,0,0,NA,banana,true,34870,id61,id62,mA6x3S2KxjWJRLBhv,game17
dog,bird,1,1,NA,dog,true,20239,id62,id61,mA6x3S2KxjWJRLBhv,game17
house,boat,2,2,NA,house,true,27218,id61,id62,mA6x3S2KxjWJRLBhv,game17
tree,swan,3,3,NA,tree,true,29408,id62,id61,mA6x3S2KxjWJRLBhv,game17
hold,jump,4,0,0,hold,true,153730,id61,id62,mA6x3S2KxjWJRLBhv,game17
