_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
7b2i88z9SEAviASrx,0,2,2024-01-26T18:03:33Z,,"9FuHMMfKzxaxBoCTC,ri7dJqSWmjQbqqTB4","ri7dJqSWmjQbqqTB4,9FuHMMfKzxaxBoCTC",7b2i88z9SEAviASrx,GXvtWgeBWwWH4Rbac,mMTrBbRaF6RAeZbRn,xYX7EarZmjKNNFLrz,2024-01-26T18:02:21Z
cGpuAfzZsYmEgn2h7,0,2,2024-01-30T23:24:50Z,,"4i27Fz5qafX7Bnk2g,PGzw2pLrWYYbjLFT4","4i27Fz5qafX7Bnk2g,PGzw2pLrWYYbjLFT4",cGpuAfzZsYmEgn2h7,GXvtWgeBWwWH4Rbac,zfN32gvAuzz2o66t2,xYX7EarZmjKNNFLrz,2024-01-26T18:07:35Z
sumxZQYrJRWLCwT6X,0,2,,,BuRzXSB5jTHX5jiQT,,,GXvtWgeBWwWH4Rbac,JhXbKStcTh362F6xk,xYX7EarZmjKNNFLrz,2024-01-26T18:07:35Z
n8cJ6h2PZuSRoqhHx,0,2,,,BuRzXSB5jTHX5jiQT,,,GXvtWgeBWwWH4Rbac,5HoJAgqwv5ZaF4aGt,xYX7EarZmjKNNFLrz,2024-01-26T18:07:36Z
mXimRcn42LpiNDXk3,0,2,2024-02-01T21:10:30Z,,"sXD4wDcZqEkvxTNCW,jCgZYJzeiNXcy4Nfx",jCgZYJzeiNXcy4Nfx,,GXvtWgeBWwWH4Rbac,jYut7YNdCx8XwiFAH,xYX7EarZmjKNNFLrz,2024-02-01T21:08:47Z
jbNPQDaixXJiohdHT,0,2,2024-02-01T21:15:19Z,,"fx5Fzjt8zxmirFQRR,bSXB8Kvy7TpMFsPkb","bSXB8Kvy7TpMFsPkb,fx5Fzjt8zxmirFQRR",jbNPQDaixXJiohdHT,GXvtWgeBWwWH4Rbac,nZtbjuHifKrTHbjpR,xYX7EarZmjKNNFLrz,2024-02-01T21:14:05Z
zsoZornQwkwLajDo7,0,2,,,"4phbsaELrPnvEDAGJ,qv6XZrZihy8PGifpb,TR8YSRnSFowWSyBFi,FwhRDhX6WEJrAKRfn",,,GXvtWgeBWwWH4Rbac,Ntmfbpr38Yj8LF57m,xYX7EarZmjKNNFLrz,2024-02-02T22:51:36Z
wZjbfhrspeGWasTCY,0,2,,,MsJvivpZhzp3amM5n,,,GXvtWgeBWwWH4Rbac,qX54x3Cu32zN3uB4B,xYX7EarZmjKNNFLrz,2024-02-02T22:59:00Z
hDejgteDNZXYTt9CJ,0,2,2024-02-21T22:33:23Z,,"LqHGM4eYu7vJQjDMS,hsF9aKx3PpGRHzPHv,hSXvd8brq5JXj2ybs,GXx5wZfcbWvNNZv8k,EqDWErByiDmxsoxtf,riYYuv7swNux3ZLjx,xYNM57qSsiSkEKacv,dSZcusrtZnKNNb7v2,goKDfPp9yRAuYkzHo,gNSS3QhDtPW7Qs9gM,D5e8ssoRWeMTmKSZi,6qiSqLfNv2fMQbcRP,RfHTRDn545WrsDyJA","6qiSqLfNv2fMQbcRP,RfHTRDn545WrsDyJA",hDejgteDNZXYTt9CJ,GXvtWgeBWwWH4Rbac,mvuBPmubWEtLZB9oj,DmrZpmbCRJP7wy2ED,2024-02-21T20:00:10Z
Zpoo83ofRo8329Dvn,0,2,,,,,,GXvtWgeBWwWH4Rbac,5gamQ492Mb4A5X8iT,DmrZpmbCRJP7wy2ED,2024-02-22T01:01:06Z
