gameId,gameConfig
TDdHXhZK29W9z7d8H,game24
R83tnLDcgGTD3F4SR,game25
KPBNaTzQ8rxDECjgD,game28
n2qx434RYW8fxnEbP,game30
XA9YvXhM83Tack4qy,game32
uidAFavaAGAqJ8HYY,game34
XHYAxKnSNRMEbigrq,game38
sfLKxjjG6efGYekzK,game41
Qx7HLhhMwYRCosRyX,game42
EaHFpvRKrAeZqnBz6,game43
pxT5YubmAaAEgd9T9,game44
uT4ySBFpCWunpYMmn,game46
iRoAhttnXMgZ4Fw3x,game49
6NZ8uhHHsyQ9m8jRC,game60
DD5546uyAjpEZB7Df,game61
ku3ztvaAALvwJNEFk,game62
WcEaqZRmgk5YCnxPZ,game64
8Pg9tqNTkvAHXD4YW,game66
D6vdTyHjB9pWy9oTk,game67
F35AwXNeMjhzbWkKq,game68
xwPovSuJgpqMFZruP,game69
5LuHx6piA3FAjEEvF,game71
yubEzRSKnPkFZDJWS,game72
GdxgdDaNrmnpHhnSc        ,game73
ZdZx6K6ecNYj9KbGY,game74
eqxTepQjfWyhW5s7a,game76
Doyf4BCTAGKcZo7rC,game77
GCpwyMdn9qNTNhyqf,game78
S9c9v6fAqdxuedydx,game79
RZu2haHpawM28eRuK,game80
6FrMxuQqHPG6BQ4id,game81
