_id,id,urlParams,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,lastLogin,data.tangramURLs,data.role,data.clicked
9FuHMMfKzxaxBoCTC,foobar,"{""playerIdKey"":""foobar""}",,2024-01-26T18:03:13Z,,,,2024-01-26T18:05:46Z,finished,,,,2024-01-26T18:02:41Z,"{""at"":""2024-02-02T22:51:45.833Z""}","/experiment/E1.jpg,/experiment/B1.jpg",speaker,false
ri7dJqSWmjQbqqTB4,foobarbaz,"{""playerIdKey"":""foobarbaz""}",,2024-01-26T18:03:33Z,,,,2024-01-26T18:05:46Z,finished,,,,2024-01-26T18:03:21Z,"{""at"":""2024-01-26T18:03:21.787Z""}","/experiment/E1.jpg,/experiment/B1.jpg",listener,/experiment/E1.jpg
4i27Fz5qafX7Bnk2g,foobarjfdklasjgl,"{""playerIdKey"":""foobarjfdklasjgl""}",,2024-01-30T23:24:50Z,,,,2024-01-31T00:14:59Z,finished,,,,2024-01-30T23:24:24Z,"{""at"":""2024-01-30T23:24:24.131Z""}","/experiment/E1.jpg,/experiment/I1.jpg",listener,false
PGzw2pLrWYYbjLFT4,foobarjfdklasjglgkj,"{""playerIdKey"":""foobarjfdklasjglgkj""}",,2024-01-30T23:24:55Z,,,,2024-01-31T00:14:59Z,finished,,,,2024-01-30T23:24:30Z,"{""at"":""2024-01-30T23:24:30.257Z""}","/experiment/I1.jpg,/experiment/E1.jpg",speaker,false
BuRzXSB5jTHX5jiQT,applebgjkfdhgkjdf,"{""playerIdKey"":""applebgjkfdhgkjdf""}",,,,,,2024-02-01T21:08:35Z,gameFull,,,,2024-02-01T21:08:14Z,"{""at"":""2024-02-01T21:08:14.614Z""}",,,
sXD4wDcZqEkvxTNCW,applebgjkfdhgkjdfgg,"{""playerIdKey"":""applebgjkfdhgkjdfgg""}",,2024-02-01T21:09:41Z,,,,2024-02-01T21:10:41Z,gameFull,,,,2024-02-01T21:08:58Z,"{""at"":""2024-02-01T21:08:58.070Z""}",,,
jCgZYJzeiNXcy4Nfx,applebgjkfdhgkjdfggh,"{""playerIdKey"":""applebgjkfdhgkjdfggh""}",,2024-02-01T21:10:30Z,,,,2024-02-01T21:10:41Z,gameFull,,,,2024-02-01T21:09:50Z,"{""at"":""2024-02-01T21:09:50.435Z""}",,,
fx5Fzjt8zxmirFQRR,foobarafjk,"{""playerIdKey"":""foobarafjk""}",,2024-02-01T21:15:21Z,,,,2024-02-01T21:59:25Z,finished,,,,2024-02-01T21:14:15Z,"{""at"":""2024-02-01T21:14:15.371Z""}","/experiment/D1.jpg,/experiment/B1.jpg",listener,false
bSXB8Kvy7TpMFsPkb,applebgjkfdhgkjdfgghfbhhgfgh,"{""playerIdKey"":""applebgjkfdhgkjdfgghfbhhgfgh""}",,2024-02-01T21:15:19Z,,,,2024-02-01T21:59:25Z,finished,,,,2024-02-01T21:14:33Z,"{""at"":""2024-02-02T22:52:38.546Z""}","/experiment/B1.jpg,/experiment/D1.jpg",speaker,false
4phbsaELrPnvEDAGJ,foobgajfklgjfar,"{""playerIdKey"":""foobgajfklgjfar""}",,,,,,2024-02-02T22:58:59Z,gameFull,,,,2024-02-02T22:51:48Z,"{""at"":""2024-02-02T22:58:58.192Z""}",,,
