gameId	game	exclude	exclusion_reason	
3WqKuHdhyJi4ojLSn	game8	y	pilot	153, 154
uCwEzJArNkeqC8DPM	game10	y	pilot	157, 158
qKvDzndtLRHdnA93s	game11			
zSNrxaAjN8X8xcMGQ	game12			
pEEsoPMSiuSnJmZ5H	game13	y	3-year-old	163, 164
hwtLvim5zdhScLEg4	game18	y	3-year-old	165, 166
wL7EjQmFuYxmHo6Ws	game24			
uw4Hv2cS5RgAxMQPS	game25			
DRHtzr7ykXWJA4nFR	game26	y	insufficient trials	171, 172
bQQdJ8kC5uKYc7xbb	game27			
ExNxH8bdgq2WnajcJ	game28	y	insufficient trials	175, 176
fwqatWCkXaJQfvkn2	game33	y	insufficient trials	179, 180
FE4m6DqfbQWmwgniQ	game34			
tMqYmPhQXDtTs3dNd	game38			
3nbqrK7ZNYhtaS5Ko	game39	y	repeat participants (played in game 34, id185=id182, id182=id185)	
fqzpvRcLPLGuHsYJy	game40	y	insufficient trials	
XdB6EQahFnDworHaK	game42			
SMwumSqBHRTBS4fK9	game43			
MKgFM7dNwHBspHZpW	game44			
M9MY6utuCtjoGaZMP	game45	y	insufficient trials	197, 198
egcWimukrEpCBzMst	game48			
HTwFJLfWj4A8u7QGj	game49			
agAoF77MYYBc2KGLh	game51	y	insufficient trials	205, 206
6qtxht66CPuAbKqzz	game52			
hwsb4A7YdQaangawz	game53	y	repeat participants (id210=id182 in game 42)	
odohRrMxG3FfX4xMQ	game56	y	repeat participants (played in game 11, id213=id159, id214=id160)	
HErfYAkWib7yZteR2	game57	y	insufficient trials	215, 216
siqgDfwwvXutvEif8	game70			
gZBFkYh7KzvX54oiG	game72			
gh5m6L567Rj8kDBb7	game73			
eYARBXoqF7mdFzui6	game74			
7f52Qvo3WtHSDBBiT	game76			
cpaM8z4mzevNTgp9W	game77			
NFd7tdjLvdX2zjRNZ	game79			
DL7ddsvxyC39tP4TL	game80			
5EaTR8ZGFDCyFdwkf	game81			
6sYhrNGKfSytZ28qg	game82			
hhgH3qxpXmvGT7bBS	game83			
pe52k3Jo6b9iiZh7Z	game88			
YPrXCErEg4XvgScYn	game89	y	insufficient trials	
s8G2akSrDJYZvy7ZM	game90			
RoKWAqdNZ9kLZ2EwK	game94	y	repeat participants (id269=id183 in game 38 )	
