start	end	text	speaker	trial	role	echo	description	backchannel
0	1560	And now you're on camera.	R					
3000	4360	So, I'm gonna explain.	R					
4360	5680	What is that?	id162					
5680	6760	What is that?	id161					
6760	8680	Okay, I'm gonna explain my game now	R					
8680	9840	just before we get started.	R					
9840	10680	Who's that stuff?	id161					
10680	11520	Animal?	id161					
11520	14800	Yeah, well, we're gonna play a fun matching game,	R					
14800	16760	but before we do that,	R					
16760	21760	we are going to practice touching the iPads	R					
21800	23560	with a bubble popping game.	R					
23560	24400	So when you're ready,	R					
24400	26080	I'm gonna scoot this a little closer.	R					
26080	28640	When you're ready, you can touch the blue button.	R					
28640	29680	I'm not ready.	id162					
29720	30880	You're not ready?	R					
30880	32320	Okay, we'll be ready in three seconds.	R					
32320	33160	Ready?	R					
33160	34120	Three, two, one.	R					
34120	34960	Touch the blue button.	R					
34960	35800	I'm not ready yet.	id162					
37040	37880	Good job.	R					
37880	39720	Okay, now touch the blue button.	R					
39720	40880	Well, we have to touch with our finger	R					
40880	42200	else that won't work.	R					
42200	43960	I'm not ready yet.	id162					
43960	44800	Only our finger.	R					
44800	46520	I'm going with the bubbles.	R					
46520	48280	Good job, keep going.	R					
48280	49600	[id161]'s gonna be done.	R					
49600	52480	Now, touch all of them with your finger, like this.	R					
52480	53800	There you go.	R					
53800	55440	Good job.	R					
55440	57120	No, look at that.	id161					
57120	58240	Do you see my friend?	R					
58240	59320	Oh my goodness.	R					
59320	60160	Perfect.	R					
60160	61480	Okay, I'm gonna take this	R					
61480	62480	while I explain the game	R					
62480	64240	and then I'll give it back to you, okay?	R					
64240	66680	We're gonna wait for [id162] to finish popping the bubbles.	R					
66680	68440	With this finger.	R					
68440	70640	With this finger, you gotta just touch it.	R					
71760	72760	There you go.	R					
72760	74560	Oh, you got a couple more.	R					
75400	76640	I do my pinky.	id162					
77800	79240	Yeah, with that finger.	R					
79240	80960	There you go.	R					
80960	84320	Now you do the blue first and then the pink first.	R					
84320	85480	Perfect.	R					
85480	86480	Do you see my friends working?	R					
