_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.tangramURLs,data.role,data.clicked
Xb9uLmdHnyEQgBTTw,,2023-06-28T21:25:26Z,,,,2023-06-28T22:12:19Z,finished,,,,2023-06-28T21:25:13Z,"/experiment/E1.jpg,/experiment/B1.jpg",listener,false
GsYBo93YXXTeRaGSE,,2023-06-28T21:25:24Z,,,,2023-06-28T22:12:19Z,finished,,,,2023-06-28T21:25:22Z,"/experiment/E1.jpg,/experiment/B1.jpg",speaker,false
8aauPLz9cxXRS72WL,,2023-07-03T19:46:13Z,,,,2023-07-03T19:53:57Z,gameCancelled,,,,2023-07-03T19:46:07Z,"/experiment/B1.jpg,/experiment/E1.jpg",speaker,false
QPjA5zmsZwQD9BkJ5,,2023-07-03T19:46:16Z,,,,2023-07-03T19:53:57Z,gameCancelled,,,,2023-07-03T19:46:07Z,"/experiment/B1.jpg,/experiment/E1.jpg",listener,false
8wnFEYi2qAGbbSN6t,,2023-07-03T19:54:48Z,,,,2023-07-03T20:39:06Z,gameCancelled,,,,2023-07-03T19:54:40Z,"/experiment/E1.jpg,/experiment/I1.jpg",listener,false
x2MxKEn8m8yoHib8G,,2023-07-03T19:54:46Z,,,,2023-07-03T20:39:06Z,gameCancelled,,,,2023-07-03T19:54:44Z,"/experiment/E1.jpg,/experiment/I1.jpg",speaker,false
tmyYwngsNBEHTEMve,,2023-07-03T20:43:43Z,,,,2023-07-03T20:53:55Z,gameCancelled,,,,2023-07-03T20:39:17Z,"/experiment/D1.jpg,/experiment/E1.jpg",speaker,false
PdJPg6w7K4CChb8Ym,,2023-07-03T20:43:48Z,,,,2023-07-03T20:53:55Z,gameCancelled,,,,2023-07-03T20:40:03Z,"/experiment/D1.jpg,/experiment/E1.jpg",listener,false
FqSh9FJLDAoRoaY3q,,2023-07-03T20:54:07Z,,,,2023-07-03T21:15:40Z,gameCancelled,,,,2023-07-03T20:54:04Z,"/experiment/E1.jpg,/experiment/D1.jpg",listener,false
h652KED54S52Cghgj,,2023-07-03T20:54:28Z,,,,2023-07-03T21:15:40Z,gameCancelled,,,,2023-07-03T20:54:26Z,"/experiment/E1.jpg,/experiment/D1.jpg",speaker,false
BdtGkdXF78jKvkR9j,,2023-07-03T21:15:44Z,,,,2023-07-03T21:18:22Z,gameCancelled,,,,2023-07-03T21:15:42Z,"/experiment/B1.jpg,/experiment/I1.jpg",listener,false
EMc2MEr6GKNxbXubp,,2023-07-03T21:15:55Z,,,,2023-07-03T21:18:22Z,gameCancelled,,,,2023-07-03T21:15:52Z,"/experiment/I1.jpg,/experiment/B1.jpg",speaker,false
MxoXqaNsKpWWkae3K,,2023-07-03T21:18:34Z,,,,2023-07-03T21:41:27Z,gameCancelled,,,,2023-07-03T21:18:29Z,"/experiment/E1.jpg,/experiment/B1.jpg",listener,false
3xismCy9zkbqZmCgh,,2023-07-03T21:19:13Z,,,,2023-07-03T21:41:27Z,gameCancelled,,,,2023-07-03T21:18:31Z,"/experiment/E1.jpg,/experiment/B1.jpg",speaker,false
PuXFWhq437fKHRp9x,,2023-07-03T21:41:31Z,,,,2023-07-03T21:53:30Z,gameCancelled,,,,2023-07-03T21:41:29Z,"/experiment/I1.jpg,/experiment/B1.jpg",speaker,false
GXSCAKKepzjufySGJ,,2023-07-03T21:41:40Z,,,,2023-07-03T21:53:30Z,gameCancelled,,,,2023-07-03T21:41:38Z,"/experiment/I1.jpg,/experiment/B1.jpg",listener,false
ktog4N9L7HrPESm6R,,2023-07-03T21:53:56Z,,,,2023-07-03T22:01:22Z,gameCancelled,,,,2023-07-03T21:53:38Z,"/experiment/I1.jpg,/experiment/B1.jpg",speaker,false
z7o76Qb7AgxJeg4Rr,,2023-07-03T21:53:54Z,,,,2023-07-03T22:01:22Z,gameCancelled,,,,2023-07-03T21:53:53Z,"/experiment/B1.jpg,/experiment/I1.jpg",listener,false
RzBzGXnJLiRqZRguH,,2023-07-03T22:01:54Z,,,,2023-07-03T22:02:34Z,gameCancelled,,,,2023-07-03T22:01:31Z,"/experiment/I1.jpg,/experiment/E1.jpg",listener,false
z7RfLianNcKWKxsC9,,2023-07-03T22:01:45Z,,,,2023-07-03T22:02:34Z,gameCancelled,,,,2023-07-03T22:01:43Z,"/experiment/E1.jpg,/experiment/I1.jpg",speaker,false
